id,type,frame,magnitude,map,path
HSI_Citadel,ship,,1,normal,graphics/normal/HSI_Citadel_normal.png
HSI_Citadel,ship,,1,surface,graphics/surface/HSI_Citadel_surface.png
HSI_Citadel,ship,,1,material,graphics/material/HSI_Citadel_material.png
HSI_Citadel_Turret,ship,,1,normal,graphics/normal/HSI_Citadel_Turret_normal.png
HSI_Citadel_Turret,ship,,1,surface,graphics/surface/HSI_Citadel_Turret_surface.png
HSI_Citadel_Turret,ship,,1,material,graphics/material/HSI_Citadel_Turret_material.png
HSI_Comet,ship,,1,normal,graphics/normal/HSI_Comet_normal.png
HSI_Comet,ship,,1,surface,graphics/surface/HSI_Comet_surface.png
HSI_Comet,ship,,1,material,graphics/material/HSI_Comet_material.png
HSI_DengHuo,ship,,1,normal,graphics/normal/HSI_DengHuo_normal.png
HSI_DengHuo,ship,,1,surface,graphics/surface/HSI_DengHuo_surface.png
HSI_DengHuo,ship,,1,material,graphics/material/HSI_DengHuo_material.png
HSI_Elegy,ship,,1,normal,graphics/normal/HSI_Elegy_normal.png
HSI_Elegy,ship,,1,surface,graphics/surface/HSI_Elegy_surface.png
HSI_Elegy,ship,,1,material,graphics/material/HSI_Elegy_material.png
HSI_FengYue,ship,,1,normal,graphics/normal/HSI_FengYue_normal.png
HSI_FengYue,ship,,1,surface,graphics/surface/HSI_FengYue_surface.png
HSI_FengYue,ship,,1,material,graphics/material/HSI_FengYue_material.png
HSI_Spade,ship,,1,normal,graphics/normal/HSI_Spade_normal.png
HSI_Spade,ship,,1,surface,graphics/surface/HSI_Spade_surface.png
HSI_Spade,ship,,1,material,graphics/material/HSI_Spade_material.png
HSI_T_01_68,ship,,1,normal,graphics/normal/HSI_T_01_68_normal.png
HSI_T_01_68,ship,,1,surface,graphics/surface/HSI_T_01_68_surface.png
HSI_T_01_68,ship,,1,material,graphics/material/HSI_T_01_68_material.png
HSI_Weaver,ship,,1,normal,graphics/normal/HSI_Weaver_normal.png
HSI_Weaver,ship,,1,surface,graphics/surface/HSI_Weaver_surface.png
HSI_Weaver,ship,,1,material,graphics/material/HSI_Weaver_material.png
HSI_YunYan,ship,,1,normal,graphics/normal/HSI_YunYan_normal.png
HSI_YunYan,ship,,1,surface,graphics/surface/HSI_YunYan_surface.png
HSI_YunYan,ship,,1,material,graphics/material/HSI_YunYan_material.png
HSI_ZhiYuan,ship,,1,normal,graphics/normal/HSI_ZhiYuan_normal.png
HSI_ZhiYuan,ship,,1,surface,graphics/surface/HSI_ZhiYuan_surface.png
HSI_ZhiYuan,ship,,1,material,graphics/material/HSI_ZhiYuan_material.png
HSI_TianGuang,ship,,1,normal,graphics/normal/HSI_X_normal.png
HSI_TianGuang,ship,,1,surface,graphics/surface/HSI_X_surface.png
HSI_TianGuang,ship,,1,material,graphics/material/HSI_X_material.png
HSI_Promise,ship,,1,normal,graphics/normal/HSI_Promise_normal.png
